steps,time_in_bed_hours,active_cals_kcal,exercise_min,nonsedentary_hours,daylight_hours,distance_m,flights,resting_hr_bpm
8826.0,8.283333333333333,3.236,34.0,15.716666666666667,2.4060882016756113,6610.0,0.0,55.0
10031.0,8.133333333333333,2.546,61.0,15.866666666666667,1.0034954953862334,6739.0,9.0,56.0
11201.0,8.9,2.12,0.0,15.1,0.972597581254986,8529.0,1.0,57.0
11116.0,15.516666666666667,5.049,0.0,8.483333333333333,1.3393176048252897,8874.0,0.0,56.0
11663.0,9.05,3.248,0.0,14.95,1.4399247189884397,8918.0,6.0,50.0
9753.0,8.85,3.292,31.0,15.15,2.068239283496632,6540.0,0.0,53.0
8941.0,8.25,3.517,65.0,15.75,1.6654472457432923,6650.0,3.0,54.0
9800.0,8.45,3.643,86.0,15.55,2.146164553662697,7714.0,3.0,53.0
5781.0,8.25,3.241,41.0,15.75,0.9504453201715515,3793.0,3.0,56.0
6382.0,8.983333333333333,2.501,0.0,15.016666666666667,1.5932074111148795,4443.0,20.0,54.0
6693.0,8.3,3.207,22.0,15.7,1.5225169899457902,5313.0,8.0,55.0
7506.0,8.766666666666667,3.536,101.0,15.233333333333333,0.7722096864604419,5731.0,9.0,57.0
10999.0,8.616666666666667,3.287,0.0,15.383333333333333,0.5438987698252514,8476.0,0.0,57.0
7736.0,8.7,4.34,64.0,15.3,2.1100243246922634,6521.0,4.0,57.0
9054.0,8.383333333333333,2.723,262.0,15.616666666666667,1.415999999114082,7003.0,9.0,57.0
13248.0,8.983333333333333,3.138,40.0,15.016666666666667,0.8860704695135362,10371.0,2.0,55.0
9109.0,7.5,2.823,75.0,16.5,1.6826747441536674,8066.0,13.0,56.0
11843.0,8.416666666666666,3.817,62.0,15.583333333333334,2.447946533477845,8756.0,1.0,56.0
7665.0,9.05,3.513,86.0,14.95,0.5,5443.0,6.0,59.0
9486.0,8.75,3.657,118.0,15.25,0.5773529170676717,7317.0,4.0,66.0
7624.0,8.416666666666666,3.458,222.0,15.583333333333334,1.0123128240066461,5886.0,9.0,58.0
9152.0,7.716666666666667,3.56,31.0,16.28333333333333,2.7511585400375633,6623.0,4.0,55.0
12100.0,7.95,3.216,59.0,16.05,1.9028108880435075,8450.0,6.0,53.0
5681.0,8.2,3.232,83.0,15.8,2.2171220683228587,4917.0,7.0,59.0
11086.0,0.0,0.0,38.0,24.0,1.7018873566116386,8495.0,4.0,0.0
10594.0,8.566666666666666,2.44,0.0,15.433333333333334,0.8596582206439651,7557.0,11.0,51.0
8514.0,17.383333333333333,6.12,0.0,6.616666666666667,1.075136268372564,6775.0,9.0,62.0
6384.0,0.0,0.0,64.0,24.0,2.5407920316548127,4753.0,7.0,0.0
10180.0,8.85,3.107,199.0,15.15,1.9991171732048885,7506.0,5.0,64.0
